"time","area","value"
"2025-01-05 14:00:00.000 +0000",NO3,30.27
"2025-01-05 14:00:00.000 +0000",SE2,24.88
"2025-01-05 14:00:00.000 +0000",SE3,115.0
"2025-01-05 15:00:00.000 +0000",NO3,39.08
"2025-01-05 15:00:00.000 +0000",SE2,52.36
"2025-01-05 15:00:00.000 +0000",SE3,180.0
"2025-01-05 16:00:00.000 +0000",NO3,48.01
"2025-01-05 16:00:00.000 +0000",SE2,67.08
"2025-01-05 16:00:00.000 +0000",SE3,180.0
"2025-01-05 17:00:00.000 +0000",NO3,46.33
"2025-01-05 17:00:00.000 +0000",SE2,64.48
"2025-01-05 17:00:00.000 +0000",SE3,76.0
"2025-01-05 18:00:00.000 +0000",NO3,37.73
"2025-01-05 18:00:00.000 +0000",SE2,50.62
"2025-01-05 18:00:00.000 +0000",SE3,77.0
"2025-01-05 19:00:00.000 +0000",NO3,32.68
"2025-01-05 19:00:00.000 +0000",SE2,37.2
"2025-01-05 19:00:00.000 +0000",SE3,57.0
"2025-01-05 20:00:00.000 +0000",NO3,29.68
"2025-01-05 20:00:00.000 +0000",SE2,37.63
"2025-01-05 20:00:00.000 +0000",SE3,57.0
"2025-01-05 21:00:00.000 +0000",NO3,29.19
"2025-01-05 21:00:00.000 +0000",SE2,35.14
"2025-01-05 21:00:00.000 +0000",SE3,51.0
"2025-01-05 22:00:00.000 +0000",NO3,33.08
"2025-01-05 22:00:00.000 +0000",SE2,27.36
"2025-01-05 22:00:00.000 +0000",SE3,40.5
"2025-01-05 23:00:00.000 +0000",NO3,32.85
"2025-01-05 23:00:00.000 +0000",SE2,26.53
"2025-01-05 23:00:00.000 +0000",SE3,40.5
"2025-01-06 00:00:00.000 +0000",NO3,28.41
"2025-01-06 00:00:00.000 +0000",SE2,24.0
"2025-01-06 00:00:00.000 +0000",SE3,24.0
"2025-01-06 01:00:00.000 +0000",NO3,31.0
"2025-01-06 01:00:00.000 +0000",SE2,31.0
"2025-01-06 01:00:00.000 +0000",SE3,31.0
"2025-01-06 02:00:00.000 +0000",NO3,31.0
"2025-01-06 02:00:00.000 +0000",SE2,31.0
"2025-01-06 02:00:00.000 +0000",SE3,31.0
"2025-01-06 03:00:00.000 +0000",NO3,30.83
"2025-01-06 03:00:00.000 +0000",SE2,30.83
"2025-01-06 03:00:00.000 +0000",SE3,30.83
"2025-01-06 04:00:00.000 +0000",NO3,29.0
"2025-01-06 04:00:00.000 +0000",SE2,29.0
"2025-01-06 04:00:00.000 +0000",SE3,29.0
"2025-01-06 05:00:00.000 +0000",NO3,30.44
"2025-01-06 05:00:00.000 +0000",SE2,25.06
"2025-01-06 05:00:00.000 +0000",SE3,25.06
"2025-01-06 06:00:00.000 +0000",SE2,36.0
"2025-01-06 06:00:00.000 +0000",SE3,36.0
"2025-01-06 06:00:00.000 +0000",NO3,36.76
"2025-01-06 07:00:00.000 +0000",NO3,46.18
"2025-01-06 07:00:00.000 +0000",SE2,43.5
"2025-01-06 07:00:00.000 +0000",SE3,43.5
"2025-01-06 08:00:00.000 +0000",NO3,41.03
"2025-01-06 08:00:00.000 +0000",SE2,41.0
"2025-01-06 08:00:00.000 +0000",SE3,41.0
"2025-01-06 09:00:00.000 +0000",NO3,42.5
"2025-01-06 09:00:00.000 +0000",SE2,42.5
"2025-01-06 09:00:00.000 +0000",SE3,42.5
