"time","area","value"
"2025-01-06 10:00:00.000 +0000",SE2,32.11
"2025-01-06 10:00:00.000 +0000",NO3,35.01
"2025-01-06 11:00:00.000 +0000",SE2,30.1
"2025-01-06 11:00:00.000 +0000",SE3,30.5
"2025-01-06 11:00:00.000 +0000",NO3,34.39
"2025-01-06 12:00:00.000 +0000",SE2,27.55
"2025-01-06 12:00:00.000 +0000",SE3,28.12
"2025-01-06 12:00:00.000 +0000",NO3,34.33
"2025-01-06 13:00:00.000 +0000",SE2,23.17
"2025-01-06 13:00:00.000 +0000",SE3,24.73
"2025-01-06 13:00:00.000 +0000",NO3,20.93
"2025-01-06 14:00:00.000 +0000",SE2,24.03
"2025-01-06 14:00:00.000 +0000",SE3,25.49
"2025-01-06 14:00:00.000 +0000",NO3,22.34
"2025-01-06 15:00:00.000 +0000",SE2,24.77
"2025-01-06 15:00:00.000 +0000",SE3,26.08
"2025-01-06 15:00:00.000 +0000",NO3,25.07
"2025-01-06 16:00:00.000 +0000",SE2,23.54
"2025-01-06 16:00:00.000 +0000",SE3,31.09
"2025-01-06 16:00:00.000 +0000",NO3,24.21
"2025-01-06 17:00:00.000 +0000",SE2,17.08
"2025-01-06 17:00:00.000 +0000",SE3,31.05
"2025-01-06 17:00:00.000 +0000",NO3,14.23
"2025-01-06 18:00:00.000 +0000",SE2,16.51
"2025-01-06 18:00:00.000 +0000",SE3,27.04
"2025-01-06 18:00:00.000 +0000",NO3,11.6
"2025-01-06 19:00:00.000 +0000",SE2,19.45
"2025-01-06 19:00:00.000 +0000",SE3,21.83
"2025-01-06 19:00:00.000 +0000",NO3,10.0
"2025-01-06 20:00:00.000 +0000",SE2,11.1
"2025-01-06 20:00:00.000 +0000",SE3,12.82
"2025-01-06 20:00:00.000 +0000",NO3,8.53
"2025-01-06 21:00:00.000 +0000",SE2,12.21
"2025-01-06 21:00:00.000 +0000",SE3,14.42
"2025-01-06 21:00:00.000 +0000",NO3,8.07
"2025-01-06 22:00:00.000 +0000",SE2,7.81
"2025-01-06 22:00:00.000 +0000",SE3,8.11
"2025-01-06 22:00:00.000 +0000",NO3,7.45
"2025-01-06 23:00:00.000 +0000",SE2,9.32
"2025-01-06 23:00:00.000 +0000",SE3,10.0
"2025-01-06 23:00:00.000 +0000",NO3,6.53
"2025-01-07 00:00:00.000 +0000",SE2,6.95
"2025-01-07 00:00:00.000 +0000",SE3,6.96
"2025-01-07 00:00:00.000 +0000",NO3,8.0
"2025-01-07 01:00:00.000 +0000",SE2,5.68
"2025-01-07 01:00:00.000 +0000",SE3,5.42
"2025-01-07 01:00:00.000 +0000",NO3,8.01
"2025-01-07 02:00:00.000 +0000",SE2,4.8
"2025-01-07 02:00:00.000 +0000",SE3,4.35
"2025-01-07 02:00:00.000 +0000",NO3,8.04
"2025-01-07 03:00:00.000 +0000",SE2,5.28
"2025-01-07 03:00:00.000 +0000",SE3,5.08
"2025-01-07 03:00:00.000 +0000",NO3,6.86
"2025-01-07 04:00:00.000 +0000",SE2,5.82
"2025-01-07 04:00:00.000 +0000",SE3,5.7
"2025-01-07 04:00:00.000 +0000",NO3,7.52
"2025-01-07 05:00:00.000 +0000",SE2,7.76
"2025-01-07 05:00:00.000 +0000",SE3,27.85
"2025-01-07 05:00:00.000 +0000",NO3,6.02
"2025-01-07 06:00:00.000 +0000",SE2,6.67
"2025-01-07 06:00:00.000 +0000",SE3,36.07
"2025-01-07 06:00:00.000 +0000",NO3,6.91
"2025-01-07 07:00:00.000 +0000",SE2,7.2
"2025-01-07 07:00:00.000 +0000",SE3,37.32
"2025-01-07 07:00:00.000 +0000",NO3,8.14
"2025-01-07 08:00:00.000 +0000",SE2,7.53
"2025-01-07 08:00:00.000 +0000",SE3,35.0
"2025-01-07 08:00:00.000 +0000",NO3,8.02
"2025-01-07 09:00:00.000 +0000",SE2,7.54
"2025-01-07 09:00:00.000 +0000",SE3,34.26
"2025-01-07 09:00:00.000 +0000",NO3,8.06
"2025-01-07 10:00:00.000 +0000",SE2,6.8
"2025-01-07 10:00:00.000 +0000",SE3,34.64
"2025-01-07 10:00:00.000 +0000",NO3,8.37
"2025-01-07 11:00:00.000 +0000",SE2,6.97
"2025-01-07 11:00:00.000 +0000",SE3,33.27
"2025-01-07 11:00:00.000 +0000",NO3,8.34
"2025-01-07 12:00:00.000 +0000",SE3,33.27
"2025-01-07 12:00:00.000 +0000",SE2,6.55
"2025-01-07 12:00:00.000 +0000",NO3,8.23
"2025-01-07 13:00:00.000 +0000",SE3,31.54
"2025-01-07 13:00:00.000 +0000",SE2,7.17
"2025-01-07 13:00:00.000 +0000",NO3,7.9
"2025-01-07 14:00:00.000 +0000",SE3,32.44
"2025-01-07 14:00:00.000 +0000",SE2,6.9
